,x[px],y[px],r[px]
398,83,190,1
399,83,190,1
400,83,190,1
401,83,190,1
402,83,190,1
403,83,190,1
404,83,190,1
405,83,190,1
406,83,190,1
407,83,190,1
408,83,190,1
409,83,190,1
410,83,190,1
411,83,190,1
412,83,190,1
413,83,190,1
414,83,190,1
415,42,190,47
416,42,190,47
417,43,169,47
418,43,197,56
419,43,197,56
420,43,197,56
421,44,197,56
422,58,197,55
423,58,197,55
424,59,197,55
425,59,197,55
426,59,197,54
427,58,171,31
428,57,169,30
429,57,169,30
430,58,170,31
431,58,171,31
432,58,170,31
433,58,172,31
434,59,172,31
435,58,171,30
436,58,170,30
437,57,190,29
438,83,190,1
439,83,190,1
440,83,190,1
441,83,190,1
442,83,190,1
443,83,190,1
444,83,190,1
445,83,190,1
446,83,190,1
447,83,190,1
448,83,190,1
449,83,190,1
450,83,190,1
451,83,190,1
452,83,190,1
453,83,190,1
454,83,190,1
455,83,190,1
456,83,190,1
457,83,190,1
458,83,190,1
459,83,190,1
460,83,190,1
461,83,190,1
462,83,190,1
463,83,190,1
464,83,190,1
465,83,190,1
466,83,190,1
467,83,190,1
468,83,190,1
469,83,190,1
470,83,190,1
471,83,190,1
472,83,190,1
473,83,190,1
474,83,190,1
475,83,190,1
476,83,190,1
477,83,190,1
478,83,190,1
479,83,190,1
480,83,190,1
481,83,190,1
482,83,190,1
483,83,190,1
484,83,190,1
485,83,190,1
486,83,190,1
487,83,190,1
488,83,190,1
489,83,190,1
490,83,190,1
491,83,190,1
492,83,190,1
493,83,190,1
494,83,190,1
495,83,190,1
496,83,190,1
497,83,190,1
498,83,190,1
499,83,190,1
500,83,190,1
501,83,190,1
502,83,190,1
503,83,190,1
504,83,190,1
505,83,190,1
506,83,190,1
507,83,190,1
508,83,190,1
509,83,190,1
510,83,190,1
511,83,190,1
512,83,191,1
513,107,168,28
514,104,169,31
515,105,170,31
516,104,171,31
517,104,172,32
518,103,172,33
519,102,172,34
520,102,172,34
521,101,172,35
522,101,172,35
523,100,172,36
524,100,172,36
525,99,172,37
526,100,172,36
527,100,172,36
528,289,172,244
529,289,172,244
530,289,171,244
531,289,171,244
532,289,170,244
533,288,170,245
534,287,170,246
535,286,170,247
536,286,170,247
537,287,169,246
538,287,169,246
539,79,168,27
540,79,168,27
541,77,168,27
542,78,168,27
543,78,168,27
544,80,168,27
545,98,168,38
546,98,168,38
547,97,168,40
548,97,172,40
549,97,172,40
550,97,172,40
551,97,172,40
552,97,172,40
553,97,172,40
554,97,172,40
555,97,172,39
556,98,172,38
557,96,172,40
558,96,172,40
559,96,172,40
560,96,172,40
561,97,172,40
562,99,172,38
563,99,172,38
564,99,172,38
565,100,171,37
566,100,171,37
567,100,171,36
568,101,171,35
569,101,171,35
570,102,171,34
571,103,171,34
572,103,171,34
573,103,171,34
574,103,171,34
575,104,171,33
576,104,171,32
577,105,171,32
578,103,171,32
579,103,171,32
580,103,171,32
581,103,172,32
582,103,172,32
583,103,173,33
584,103,174,34
585,103,174,34
586,103,174,34
587,103,173,34
588,103,173,34
589,103,173,34
590,103,174,34
591,103,175,36
592,103,177,36
593,103,179,39
594,103,178,37
595,103,178,37
596,103,179,38
597,102,180,40
598,102,180,40
599,102,180,40
600,102,180,40
601,102,180,40
602,102,180,40
603,102,179,40
604,103,179,40
605,104,180,41
606,104,180,41
607,104,180,41
608,104,179,41
609,104,179,41
610,104,180,42
611,104,180,42
612,104,181,43
613,104,182,45
614,104,192,56
615,104,192,56
616,104,192,56
617,104,182,44
618,104,180,42
619,104,177,39
620,104,173,35
