,x[px],y[px],r[px]
1657,101,172,54
1658,100,172,54
1659,100,172,54
1660,91,172,54
1661,91,172,54
1662,91,172,54
1663,92,172,54
1664,69,173,55
1665,70,173,55
1666,49,172,56
1667,48,172,56
1668,47,197,52
1669,46,199,51
1670,46,198,51
1671,45,200,50
1672,44,200,49
1673,44,200,49
1674,44,202,49
1675,45,202,50
1676,44,203,49
1677,44,202,49
1678,45,203,50
1679,45,203,50
1680,45,203,50
1681,46,201,51
1682,46,202,51
1683,46,201,51
1684,47,200,52
1685,47,200,52
1686,47,172,57
1687,47,172,57
1688,47,172,56
1689,47,172,56
1690,48,172,56
1691,48,172,56
1692,48,172,55
1693,48,172,55
1694,49,172,55
1695,49,172,55
1696,49,172,54
1697,86,172,54
1698,87,172,54
1699,86,172,54
1700,87,172,54
1701,87,172,54
1702,88,172,54
1703,89,172,54
1704,89,172,54
1705,90,189,35
1706,91,189,35
1707,104,189,38
1708,91,189,53
1709,91,189,53
1710,91,189,53
1711,91,189,53
1712,91,189,53
1713,91,189,53
1714,90,188,52
1715,90,187,52
1716,76,186,37
1717,74,186,37
1718,73,187,36
1719,72,187,36
1720,72,187,36
1721,72,187,36
1722,72,188,35
