,mean,stdev,fit[0][2],offset,maxx,maxx-offset,FWHM,fitconvergence
0,29.646325832482056,2.034109892324677,672.1522633161105,137.741628944725,269.56831034287643,131.82668139815144,4.790328796424615,1.0
1,29.89407287084347,3.1060331315281484,763.4865554054547,137.1493907432347,235.21243597528348,98.06304523204878,7.314708024748789,1.0
2,29.77581652393757,2.366651209705364,633.9562001353394,137.95906333108684,244.8239579634081,106.86489463232127,5.573463598856132,1.0
3,29.900432544575914,2.57260557362874,588.0867203053184,136.95230465928037,228.14881751666132,91.19651285738095,6.058486125895683,1.0
4,29.47055428879873,2.483713486019864,670.8848471228764,137.57441921461594,245.3341637682703,107.75974455365434,5.8491452595767806,1.0
5,29.836608897705993,2.0875308866679756,578.2206694811163,136.97965550864535,247.48181570721158,110.50216019856623,4.916135238103083,1.0
6,29.811959583502883,2.493228949299322,676.0872829414815,138.32812861290043,246.5090489743792,108.18092036147877,5.871554175599903,1.0
7,29.288844749044046,2.180549582764792,587.0917161951356,137.69638806175203,245.10770762766998,107.41131956591795,5.1351942674110855,1.0
8,29.68081655793472,1.9080408343141666,645.1492022567992,138.9270966290561,273.8179696747608,134.89087304570467,4.493436164809863,1.0
9,29.901917155854694,2.60456499821832,839.6973338014926,136.23962777971244,264.8564100151047,128.61678223539226,6.1337505708041435,1.0
10,29.18217863200411,2.2933028024654445,777.624572622653,136.53667378961993,271.81201552153465,135.27534173191472,5.400728099806122,1.0
11,29.47767234223785,2.9779777654501958,698.5484776863804,138.3546087052255,231.9350665220502,93.58045781682469,7.013137637635211,1.0
12,29.02774449034334,2.203624839107902,653.0444965497246,138.9346750605686,257.16126973020505,118.22659466963646,5.189536496099109,1.0
13,29.226948183608638,2.221717098599987,688.6116557046525,138.2010557404597,261.8514990894048,123.65044334894509,5.2321437672029685,1.0
14,29.694377395146827,2.7346365227258254,716.146351564287,135.4717274739172,239.94669378843213,104.47496631451492,6.440069011019319,1.0
15,29.574325710152763,2.4175373422528956,735.1430576908393,137.7863657051533,259.09975463637,121.3133889312167,5.693300441005569,1.0
16,29.800461532662545,2.904732122366405,745.7084250697202,136.17944291549475,238.59667351695703,102.41723060146228,6.840644148172884,1.0
17,29.27876230980524,2.396146013947361,616.5421449289174,139.62471425118628,242.27485653376604,102.65014228257976,5.642923862846035,1.0
18,30.17777086831503,1.9790316535437946,605.327672421236,139.38537212631306,261.41010154051355,122.0247294142005,4.660619544095637,1.0
19,29.73496600139807,2.125347229647061,776.846129767907,137.0842311735847,282.9035882214688,145.8193570478841,5.005192725818828,1.0
20,29.77153918693243,2.145567833045715,791.1557529062596,136.8019874509885,283.9077910317093,147.1058035807208,5.052812246822659,1.0
21,29.46412916592157,2.289087492635439,762.3872648994353,136.50312891653266,269.3720188067238,132.86888989019116,5.390801045156459,1.0
22,29.780123572427627,2.6635843853505485,723.1746187913076,137.5679230241392,245.88246831723734,108.31454529309815,6.272741227500542,1.0
23,29.33484532924925,2.4620958220901947,601.5779373968466,137.89870104338775,235.37454744669498,97.47584640330723,5.798235661022408,1.0
24,29.642137851361973,2.49410596645575,797.6022831983197,137.80704528331566,265.38673836456087,127.57969308124521,5.873619551003291,1.0
25,29.17083075426221,2.363198224637255,737.0539534868977,135.99660077521588,260.42204334598847,124.42544257077259,5.565331819020736,1.0
26,29.427946542554878,2.1004474687424515,571.4737877873822,138.0991868702108,246.64037129984973,108.54118442963895,4.946553788888473,1.0
27,29.491118282685548,2.5638785225684746,713.9748413364616,137.262502647319,248.35776275608333,111.09526010876434,6.037933920648758,1.0
28,28.97469354333131,2.9586138961331447,731.425939100592,136.0483176836362,234.67447923547735,98.62616155184114,6.967535725393556,1.0
29,29.68964755646553,2.734321959985783,822.5762499773246,135.57789583371067,255.59318656111247,120.0152907274018,6.439328215766519,1.0
30,29.776963699891613,2.417847808429061,693.2085213672165,137.2315246417331,251.61018294431028,114.37865830257718,5.6940315888504385,1.0
31,29.295266263510385,1.8388907496702596,702.7821791342019,139.65446368479866,292.1211206732909,152.46665698849222,4.330587715473461,1.0
32,30.24749866381212,2.2219910701016357,677.0051446217922,138.13408092297283,259.6854138122475,121.55133288927465,5.232788970089352,1.0
33,30.118768581497385,2.24018941953363,592.0221444349426,138.7208809260741,244.1506549842837,105.4297740582096,5.275646083001699,1.0
34,29.64612865118522,2.308211570583191,746.1175708968785,137.77804048505212,266.7340898241395,128.9560493390874,5.435838248723415,1.0
35,29.678437767140494,2.564628753015744,880.276705280851,136.16122158299794,273.0931637894678,136.93194220646984,6.039700713352077,1.0
36,29.669963907162884,2.6331548826431748,824.7909446416819,137.60348425597462,262.5653626774628,124.9618784214882,6.201079748624677,1.0
37,29.427786752474837,2.604208411106299,785.2717697261518,137.51047051039328,257.8073366188686,120.29686610847531,6.1329108081553345,1.0
38,29.59432011280481,2.2677569209382837,752.6702569147888,135.58882905142588,267.9980771112579,132.409248059832,5.340567548809658,1.0
39,29.900550712440033,2.5999708105423687,685.6111856573192,136.45898023904158,241.65988817454388,105.2009079355023,6.122931258827278,1.0
40,29.368860365059334,1.7842662589917482,723.7693503297334,139.67592749155426,301.50278133138954,161.82685383983528,4.2019470399255665,1.0
41,29.345872227975416,2.2399834582635125,891.8622590236726,137.83062901703758,296.6717856810707,158.8411566640331,5.275161044210572,1.0
42,30.070629936458367,2.3665822107316656,785.7540253522936,137.51493291516692,269.9719848135394,132.45705189837247,5.573301106273073,1.0
43,29.561864799782125,2.502459078117505,884.2204722813121,135.33382546111986,276.29634296006725,140.9625174989474,5.893291128966724,1.0
