# time[s], tube length [µm]
   5.47680,   1.15557
   5.85120,   1.15557
   6.22560,   1.15557
   6.60000,   1.15557
   6.97440,   1.15557
   7.34880,   1.15557
   7.72320,   1.15557
   8.09760,   1.15557
   8.47200,   1.15557
   8.84640,   1.15557
   9.22080,   1.15557
   9.59520,   1.15557
   9.96960,   1.15557
  10.34400,   1.15557
  10.71840,   1.15557
  11.09280,   1.15557
  11.46720,   1.15557
  11.84160,   1.15557
  12.21600,   1.15557
  12.59040,   1.15557
  12.96480,   1.15557
  13.33920,   1.15557
  13.71360,   1.15557
  14.08800,   1.15557
  14.46240,   1.15557
  14.83680,   1.15557
  15.21120,   1.15557
  15.58560,   1.15557
  15.96000,   1.15557
  16.33440,   1.15557
  16.70880,   1.15557
  17.08320,   1.15557
  17.45760,   1.15557
  17.83200,   1.15557
  18.20640,   1.15557
  18.58080,   1.15557
  18.95520,   1.15557
  19.32960,   1.15557
  19.70400,   1.15557
  20.07840,   1.15557
  20.45280,   1.15557
  20.82720,   1.15557
  21.20160,   1.15557
  21.57600,   1.15557
  21.95040,   1.15557
  22.32480,   1.15557
  22.69920,   1.15557
  23.07360,   1.15557
  23.44800,   1.15557
  23.82240,   1.15557
  24.19680,   1.15557
  24.57120,   1.15557
  24.94560,   1.15557
  25.32000,   1.15557
  25.69440,   1.15557
  26.06880,   1.15557
  26.44320,   1.15557
  26.81760,   1.15557
  27.19200,   1.15557
  27.56640,   1.15557
  27.94080,   1.15557
  28.31520,   1.15557
  28.68960,   1.15557
  29.06400,   1.15557
  29.43840,   1.15557
  29.81280,   1.15557
  30.18720,   1.15557
  30.56160,   1.15557
  30.93600,   1.15557
  31.31040,   1.15557
  31.68480,   1.15557
  32.05920,   1.15557
  32.43360,   1.15557
  32.80800,   1.15557
  33.18240,   1.15557
  33.55680,   1.15557
  33.93120,   1.15557
  34.30560,   1.15557
  34.68000,   1.15557
  35.05440,   1.15557
  35.42880,   1.15557
  35.80320,   1.15557
  36.17760,   1.15557
  36.55200,   1.15557
  36.92640,   1.15557
  37.30080,   1.15557
  37.67520,   1.15557
  38.04960,   1.15557
  38.42400,   1.15557
  38.79840,   1.15557
  39.17280,   1.15557
  39.54720,   1.15557
  39.92160,   1.15557
  40.29600,   1.15557
  40.67040,   1.15557
  41.04480,   1.15557
  41.41920,   1.15557
  41.79360,   1.15557
  42.16800,   1.15557
  42.54240,   1.15557
  42.91680,   1.15557
  43.29120,   1.15557
  43.66560,   1.15557
  44.04000,   1.15557
  44.41440,   1.15557
  44.78880,   1.15557
  45.16320,   1.15557
  45.53760,   1.15557
  45.91200,   1.15557
  46.28640,   1.15557
  46.66080,   1.15557
  47.03520,   1.15557
  47.40960,   1.15557
  47.78400,   1.15557
  48.15840,   1.15557
  48.53280,   1.15557
  48.90720,   1.15557
  49.28160,   1.15557
  49.65600,   1.15557
  50.03040,   1.15557
  50.40480,   1.15557
  50.77920,   1.15557
  51.15360,   1.15557
  51.52800,   1.15557
  51.90240,   1.15557
  52.27680,   1.15557
  52.65120,   1.15557
  53.02560,   1.15557
  53.40000,   1.15557
  53.77440,   1.15557
  54.14880,   1.15557
  54.52320,   1.15557
  54.89760,   1.15557
  55.27200,   1.15557
  55.64640,   1.15557
  56.02080,   1.15557
  56.39520,   1.15557
  56.76960,   1.15557
  57.14400,   1.15557
