# time[s], max intensity ch1[AU], max intensity ch2[AU], max intensity ch3[AU]
 -39.82560,   2.72342,  22.48689, 139.85916
 -39.45120,   3.09386,  23.02341, 139.61363
 -39.07680,   6.06198,  24.48722, 139.96272
 -38.70240,  -6.79383,  19.83292, 133.85175
 -38.32800,  -3.22114,  20.97585, 134.39001
 -37.95360,  -1.49401,  21.47494, 139.86621
 -37.57920,  -3.06488,  17.16221, 134.53857
 -37.20480,  -4.19963,  21.43286, 140.01345
 -36.83040,  -3.74168,  18.36043, 135.55163
 -36.45600,  -4.65166,  18.79305, 135.85607
 -36.08160, -23.23789,  20.62971, 137.15954
 -35.70720,   3.07382,  21.30468, 137.19775
 -35.33280,   3.74211,  16.55638, 137.28694
 -34.95840,  -4.25509,  18.98650, 141.92515
 -34.58400,  17.32166,  13.26398, 137.74966
 -34.20960,  -2.45241,  14.33754, 137.95878
 -33.83520,  -1.99838,  15.15151, 137.64635
 -33.46080,  16.10211,  14.45117, 137.28601
 -33.08640,  10.93084,  18.73752, 144.92356
 -32.71200,   7.28976,  19.49380, 142.23169
 -32.33760,   7.70491,  18.91613, 142.54527
 -31.96320,   7.06254,  18.99504, 142.58348
 -31.58880,   6.48692,  19.93714, 142.31111
 -31.21440,   4.71586,  19.80963, 142.18568
 -30.84000,   4.81804,  21.36505, 141.55349
 -30.46560,  51.32151,  21.04031, 135.48416
 -30.09120,   0.00000,  24.34345, 135.44849
 -29.71680,   0.00000,  24.88761, 136.55838
 -29.34240,   0.00000,  24.79517, 141.94896
 -28.96800,  -9.29346,  26.58833, 136.20157
 -28.59360,  -6.80683,  28.48978, 134.28982
 -28.21920,  -7.35841,  26.47194, 139.82390
 -27.84480,  -5.39708,  28.28649, 139.37259
 -27.47040,  -5.12256,  30.29860, 139.36325
 -27.09600,  -4.25601,  34.50442, 133.72202
 -26.72160, -29.44981,  32.67083, 134.27399
 -26.34720,   5.89002,  25.98690, 139.51484
 -25.97280,  -3.69256,  25.71662, 139.11330
 -25.59840,  15.43928,  25.43465, 133.38606
 -25.22400,   0.00000,  19.74745, 133.05343
 -24.84960,   0.00000,  26.13198, 139.69116
 -24.47520,  22.47480,  26.03454, 139.93057
 -24.10080,  22.71653,  27.60751, 140.62758
 -23.72640,   0.00000,  26.86321, 140.51598
 -23.35200,   0.00000,  27.92407, 140.02775
 -22.97760,  -3.96822,  25.44565, 139.51255
 -22.60320,  -5.42514,  24.21569, 140.06908
 -22.22880,  -2.50409,  17.72084, 132.55290
 -21.85440,  -4.10257,  20.76037, 138.58330
 -21.48000,  -3.37668,  17.99627, 132.13848
 -21.10560,   0.00000,  17.33897, 131.17635
 -20.73120,   0.00000,  20.39622, 130.89979
 -20.35680,   5.78332,  21.08372, 130.19068
 -19.98240,   4.79246,  20.62727, 130.21652
 -19.60800,   0.00000,  24.50900, 137.25799
 -19.23360,   0.00000,  25.79081, 137.58198
 -18.85920,   0.00000,  25.92411, 138.12229
 -18.48480,   0.00000,  26.48959, 137.91004
 -18.11040,   0.00000,  29.58235, 137.94804
 -17.73600,   8.21509,  24.52229, 131.16431
 -17.36160,  13.26567,  26.17669, 138.68649
 -16.98720,   0.00000,  22.12505, 132.57951
 -16.61280,   3.96571,  24.46658, 139.33626
 -16.23840,  42.42879,  19.69289, 131.50373
 -15.86400,   2.79134,  23.87899, 137.83343
 -15.48960,   5.57396,  23.94644, 137.70176
 -15.11520,  35.72262,  19.20946, 129.39223
 -14.74080,  -4.05338,  25.60017, 136.02248
 -14.36640,  -4.47485,  22.76011, 136.98190
