X,Y
0.000,463.801
1.000,529.131
2.000,364.365
3.000,418.114
4.000,297.697
5.000,374.891
6.000,306.509
7.000,337.628
8.000,385.284
9.000,372.853
10.000,374.607
11.000,418.782
12.000,513.127
13.000,319.140
14.000,356.462
15.000,424.130
16.000,427.130
17.000,451.973
18.000,327.249
19.000,439.714
20.000,368.954
21.000,430.624
22.000,383.575
23.000,381.199
24.000,263.953
25.000,433.391
26.000,429.070
27.000,523.284
28.000,604.118
29.000,495.048
30.000,293.912
31.000,483.856
32.000,317.143
33.000,486.994
34.000,424.718
35.000,298.359
36.000,384.738
37.000,399.815
38.000,353.027
39.000,438.245
40.000,453.468
41.000,350.556
42.000,249.005
43.000,356.397
44.000,330.156
45.000,255.474
46.000,302.393
47.000,335.316
48.000,461.297
49.000,475.126
50.000,389.281
51.000,368.001
52.000,248.478
53.000,370.220
54.000,338.907
55.000,345.028
56.000,393.257
57.000,306.338
58.000,448.475
59.000,317.839
60.000,383.897
61.000,420.300
62.000,384.662
63.000,339.179
64.000,513.667
65.000,273.775
66.000,466.142
67.000,428.428
68.000,504.683
69.000,350.570
70.000,430.073
71.000,425.322
72.000,321.784
73.000,291.843
74.000,441.557
75.000,483.953
76.000,420.564
77.000,323.635
78.000,305.249
79.000,309.095
80.000,271.526
81.000,417.354
82.000,482.228
83.000,336.980
84.000,476.885
85.000,442.666
86.000,311.496
87.000,437.248
88.000,281.955
89.000,449.797
90.000,343.430
91.000,316.910
92.000,503.812
93.000,516.611
94.000,357.020
95.000,332.971
96.000,417.916
97.000,431.409
98.000,417.704
99.000,593.470
100.000,426.033
101.000,517.594
102.000,376.951
103.000,440.605
104.000,450.506
105.000,448.224
106.000,374.776
107.000,463.956
108.000,394.827
109.000,486.587
110.000,292.066
111.000,378.121
112.000,386.551
113.000,358.319
114.000,437.615
115.000,351.193
116.000,668.922
117.000,435.521
118.000,427.379
119.000,351.835
120.000,378.196
121.000,405.490
122.000,354.538
123.000,389.620
124.000,308.016
125.000,570.912
126.000,348.785
127.000,438.348
128.000,372.188
129.000,436.370
130.000,609.672
131.000,319.706
132.000,316.007
133.000,308.989
134.000,443.407
135.000,456.413
136.000,371.942
137.000,506.137
138.000,426.831
139.000,501.704
140.000,307.621
141.000,450.408
141.999,324.652
142.999,420.590
143.999,414.656
144.999,347.915
145.999,565.752
146.999,521.271
147.999,421.314
148.999,460.387
149.999,540.029
150.999,421.518
151.999,400.051
152.999,440.837
153.999,354.162
154.999,516.288
155.999,415.618
156.999,453.279
157.999,326.066
158.999,343.732
159.999,375.227
160.999,512.802
161.999,366.189
162.999,461.511
163.999,321.594
164.999,442.626
165.999,617.899
166.999,583.117
167.999,485.153
168.999,487.755
169.999,512.801
170.999,374.842
171.999,293.828
172.999,458.515
173.999,510.206
174.999,335.196
175.999,415.535
176.999,455.845
177.999,531.069
178.999,454.181
179.999,527.125
180.999,396.776
181.999,490.345
182.999,463.421
183.999,553.003
184.999,535.999
185.999,383.286
186.999,576.237
187.999,620.016
188.999,390.428
189.999,539.900
190.999,567.051
191.999,404.844
192.999,528.293
193.999,549.550
194.999,571.286
195.999,709.608
196.999,426.906
197.999,395.900
198.999,352.779
199.999,595.831
200.999,472.687
201.999,496.492
202.999,348.453
203.999,405.055
204.999,414.763
205.999,494.475
206.999,348.441
207.999,561.685
208.999,740.700
209.999,395.610
210.999,483.997
211.999,476.592
212.999,450.522
213.999,349.330
214.999,453.157
215.999,557.831
216.999,419.790
217.999,556.437
218.999,436.841
219.999,430.385
220.999,382.755
221.999,388.522
222.999,450.526
223.999,447.479
224.999,495.193
225.999,568.433
226.999,584.152
227.999,559.520
228.999,438.031
229.999,521.501
230.999,509.466
231.999,486.245
232.999,549.815
233.999,639.382
234.999,726.522
235.999,469.781
236.999,628.335
237.999,524.242
238.999,526.858
239.999,389.226
240.999,487.281
241.999,595.669
242.999,508.703
243.999,523.920
244.999,474.498
245.999,583.276
246.999,546.605
247.999,431.236
248.999,484.706
249.999,515.605
250.999,533.512
251.999,542.955
252.999,475.752
253.999,517.222
254.999,634.268
255.999,587.983
256.999,437.060
257.999,518.357
258.999,486.416
259.999,566.794
260.999,571.706
261.999,530.519
262.999,371.798
263.999,351.192
264.999,505.147
265.999,491.775
266.999,490.056
267.999,608.368
268.999,440.827
269.999,559.851
270.999,517.538
271.999,506.074
272.999,585.610
273.999,518.063
274.999,416.822
275.999,317.686
276.999,378.108
277.999,479.711
278.999,538.646
279.999,552.428
280.999,513.475
281.999,490.598
282.999,399.486
283.999,423.367
284.999,447.321
285.999,499.969
286.999,520.924
287.999,502.641
288.999,441.065
289.999,457.995
290.999,522.959
291.999,536.744
292.999,546.571
293.999,498.795
294.999,574.964
295.999,514.829
296.999,500.745
297.999,354.369
298.999,412.053
299.999,546.935
300.999,504.249
301.999,563.285
302.999,625.736
303.999,597.154
304.999,478.968
305.999,579.991
306.999,577.830
307.999,489.585
308.999,636.117
309.999,522.001
310.999,451.745
311.999,580.255
312.999,538.606
313.999,464.138
314.999,504.117
315.999,463.147
316.999,677.792
317.999,555.445
318.999,523.887
319.999,492.849
320.999,646.048
