# time[s], FWHM ch1[µm],FWHM ch2[µm],FWHM ch3[µm]
 -39.45120,   0.25976,   0.62312,   0.47247
 -39.07680,   0.24543,   0.62312,   0.47174
 -38.70240,   0.23668,   0.62312,   0.47167
 -38.32800,   0.23668,   0.62312,   0.47130
 -37.95360,   0.23668,   0.62312,   0.47130
 -37.57920,   0.22495,   0.62312,   0.47008
 -37.20480,   0.21044,   0.62312,   0.47130
 -36.83040,   0.21044,   0.62116,   0.47167
 -36.45600,   0.22495,   0.62097,   0.47167
 -36.08160,   0.23175,   0.62097,   0.47167
 -35.70720,   0.23175,   0.61494,   0.47130
 -35.33280,   0.23175,   0.61494,   0.47167
 -34.95840,   0.23175,   0.61494,   0.47167
 -34.58400,   0.23175,   0.59531,   0.47130
 -34.20960,   0.23175,   0.58161,   0.47130
 -33.83520,   0.22495,   0.58161,   0.47130
 -33.46080,   0.22495,   0.58161,   0.47130
 -33.08640,   0.22495,   0.59531,   0.47130
 -32.71200,   0.22495,   0.61494,   0.47167
 -32.33760,   0.21466,   0.61494,   0.47264
 -31.96320,   0.21466,   0.61494,   0.47302
 -31.58880,   0.21466,   0.62097,   0.47312
 -31.21440,   0.21466,   0.62097,   0.47312
 -30.84000,   0.21466,   0.62116,   0.47384
 -30.46560,   0.22495,   0.62312,   0.47384
 -30.09120,   0.21466,   0.62696,   0.47302
 -29.71680,   0.20196,   0.62696,   0.47130
 -29.34240,   0.20196,   0.63279,   0.41559
 -28.96800,   0.21466,   0.63420,   0.41559
 -28.59360,   0.20196,   0.63279,   0.47130
 -28.21920,   0.19953,   0.63279,   0.47130
 -27.84480,   0.19723,   0.63279,   0.47302
 -27.47040,   0.19314,   0.63062,   0.47302
 -27.09600,   0.17709,   0.62696,   0.47411
 -26.72160,   0.17709,   0.62116,   0.47411
 -26.34720,   0.19314,   0.62116,   0.47411
 -25.97280,   0.17709,   0.62116,   0.47411
 -25.59840,   0.17709,   0.62116,   0.47411
 -25.22400,   0.14571,   0.60875,   0.47302
 -24.84960,   0.17709,   0.60398,   0.47302
 -24.47520,   0.17709,   0.60398,   0.47302
 -24.10080,   0.14571,   0.60095,   0.47302
 -23.72640,   0.17709,   0.59531,   0.47302
 -23.35200,   0.19314,   0.59531,   0.47149
 -22.97760,   0.19314,   0.58005,   0.47130
 -22.60320,   0.17709,   0.57769,   0.47033
 -22.22880,   0.17709,   0.55014,   0.47033
 -21.85440,   0.17709,   0.55014,   0.47033
 -21.48000,   0.17709,   0.54971,   0.47026
 -21.10560,   0.14571,   0.54971,   0.46997
 -20.73120,   0.14571,   0.55014,   0.46997
